CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
512807306,LRCX,Lam Research Corp,3140813,3140813,305.73M,305.73M,NEW,1.3%
037833100,AAPL,Apple Inc,4760592,1266151,976.73M,259.78M,+36.2%,4%
57636Q104,MA,Mastercard Inc,961051,362802,540.05M,203.87M,+60.6%,2.2%
874039100,TSM,Taiwan Semiconductor-Sp Adr,1629486,743208,369.03M,168.31M,+83.9%,1.5%
79466L302,CRM,Salesforce Inc,758716,557609,206.89M,152.05M,+277.3%,0.86%
049468101,TEAM,Atlassian Corp,765678,738104,155.5M,149.9M,+2676.8%,0.64%
80004C200,SNDK,Sandisk Corp,7109285,2203005,322.41M,99.91M,+44.9%,1.3%
458140100,INTC,Intel Corp,5813970,2915302,130.23M,65.3M,+100.6%,0.54%
92826C839,V,Visa Inc,1216016,180319,431.75M,64.02M,+17.4%,1.8%
278865100,ECL,Ecolab Inc,275832,224302,74.32M,60.44M,+435.3%,0.31%
46120E602,ISRG,Intuitive Surgical Inc,199007,81355,108.14M,44.21M,+69.1%,0.45%
17275R102,CSCO,Cisco Systems Inc,1463981,634161,101.57M,44M,+76.4%,0.42%
L8681T102,SPOT,Spotify Technology SA,38890,38890,29.84M,29.84M,NEW,0.12%
30303M102,META,Meta Platforms Inc,1353763,40168,999.2M,29.65M,+3.1%,4.1%
09290D101,BLK,Blackrock Inc,28021,28021,29.4M,29.4M,NEW,0.12%
172755100,CRUS,Cirrus Logic Inc,504474,279398,52.59M,29.13M,+124.1%,0.22%
532457108,LLY,Eli Lilly & Co,354840,30418,276.61M,23.71M,+9.4%,1.1%
40434L105,HPQ,HP Inc,3095812,943793,75.72M,23.09M,+43.9%,0.31%
194162103,CL,Colgate-Palmolive Co,919833,253174,83.61M,23.01M,+38%,0.35%
70614W100,PTON,Peloton Interactive Inc,3711752,3175861,25.76M,22.04M,+592.6%,0.11%
459200101,IBM,International Business Machines Corp,261950,69160,77.22M,20.39M,+35.9%,0.32%
172967424,C,Citigroup Inc,1689437,227277,143.8M,19.35M,+15.5%,0.6%
H1467J104,CB,Chubb Ltd,626184,63921,181.42M,18.52M,+11.4%,0.75%
91324P102,UNH,Unitedhealth Group Inc,379725,47936,118.46M,14.95M,+14.4%,0.49%
855244109,SBUX,Starbucks Corp,348173,145899,31.9M,13.37M,+72.1%,0.13%
67103H107,ORLY,O'Reilly Automotive Inc,156025,146151,14.06M,13.17M,+1480.2%,0.06%
070830104,BBWI,Bath & Body Works Inc,1498255,394464,44.89M,11.82M,+35.7%,0.19%
G7997W102,SDRL,Seadrill Ltd,594256,441266,15.6M,11.58M,+288.4%,0.06%
88160R101,TSLA,Tesla Inc,641447,35881,203.76M,11.4M,+5.9%,0.84%
14040H105,COF,Capital One Financial Corp,122745,51818,26.12M,11.02M,+73.1%,0.11%
00206R102,T,AT&T Inc,2026055,354198,58.63M,10.25M,+21.2%,0.24%
49456B101,KMI,Kinder Morgan Inc,706677,340900,20.78M,10.02M,+93.2%,0.09%
857477103,STT,State Street Corp,381654,90640,40.59M,9.64M,+31.1%,0.17%
969457100,WMB,Williams Cos Inc/The,382144,146855,24M,9.22M,+62.4%,0.1%
461202103,INTU,Intuit Inc,55470,10656,43.69M,8.39M,+23.8%,0.18%
311900104,FAST,Fastenal Co,420786,199130,17.67M,8.36M,+89.8%,0.07%
713448108,PEP,PepsiCo Inc,796465,60507,105.17M,7.99M,+8.2%,0.44%
02079K107,GOOG,Alphabet Inc,950341,44405,168.58M,7.88M,+4.9%,0.7%
478160104,JNJ,Johnson & Johnson,1256126,47950,191.87M,7.32M,+4%,0.8%
69608A108,PLTR,Palantir Technologies Inc,413584,52211,56.38M,7.12M,+14.4%,0.23%
09061G101,BMRN,Biomarin Pharmaceutical Inc,1119330,127844,61.53M,7.03M,+12.9%,0.26%
30231G102,XOM,Exxon Mobil Corp,1017586,64822,109.7M,6.99M,+6.8%,0.45%
375558103,GILD,Gilead Sciences Inc,289340,61277,32.08M,6.79M,+26.9%,0.13%
038222105,AMAT,Applied Materials Inc,184042,36578,33.69M,6.7M,+24.8%,0.14%
H2906T109,GRMN,Garmin Ltd,30378,30378,6.34M,6.34M,NEW,0.03%
00287Y109,ABBV,AbbVie Inc,503046,34096,93.38M,6.33M,+7.3%,0.39%
20030N101,CMCSA,Comcast Corp,954818,177057,34.08M,6.32M,+22.8%,0.14%
243537107,DECK,Deckers Outdoor,491318,60491,50.64M,6.23M,+14%,0.21%
482480100,KLAC,Kla Corp,30953,6692,27.73M,5.99M,+27.6%,0.11%
377322102,GKOS,Glaukos Corp,57283,57283,5.92M,5.92M,NEW,0.02%
595112103,MU,Micron Technology Inc,303468,47868,37.4M,5.9M,+18.7%,0.16%
29364G103,ETR,Entergy Corp,201372,70487,16.74M,5.86M,+53.9%,0.07%
86800U302,SMCI,Super Micro Computer Inc,117348,117348,5.75M,5.75M,NEW,0.02%
931142103,WMT,WalMart Inc,1921528,58791,187.89M,5.75M,+3.2%,0.78%
G7997R103,STX,Seagate Technology HLDNGS PL,38794,38794,5.6M,5.6M,NEW,0.02%
336433107,FSLR,First Solar Inc,70087,32489,11.6M,5.38M,+86.4%,0.05%
060505104,BAC,Bank Of America Corp,4448437,110891,210.5M,5.25M,+2.6%,0.87%
254687106,DIS,Walt Disney Co/The,477616,36463,59.23M,4.52M,+8.3%,0.25%
34959E109,FTNT,Fortinet Inc,158930,42668,16.8M,4.51M,+36.7%,0.07%
443201108,HWM,Howmet Aerospace Inc,124306,24166,23.14M,4.5M,+24.1%,0.1%
69331C108,PCG,Pg&E Corp,1042507,315071,14.53M,4.39M,+43.3%,0.06%
21037T109,CEG,Constellation Energy Corp,99504,13404,32.12M,4.33M,+15.6%,0.13%
116794108,BRKR,Bruker Corp,101968,101968,4.2M,4.2M,NEW,0.02%
032654105,ADI,Analog Devices Inc,122336,17638,29.12M,4.2M,+16.8%,0.12%
12514G108,CDW,Cdw Corp/De,25641,22566,4.58M,4.03M,+733.9%,0.02%
679580100,ODFL,Old Dominion Freight Line Inc,59762,23234,9.7M,3.77M,+63.6%,0.04%
075887109,BDX,Becton Dickinson And Co,75135,21670,12.94M,3.73M,+40.5%,0.05%
78409V104,SPGI,S&P Global Inc,249767,7062,131.7M,3.72M,+2.9%,0.55%
697435105,PANW,Palo Alto Networks Inc,123798,17882,25.33M,3.66M,+16.9%,0.11%
693718108,PCAR,Paccar Inc,199626,38457,18.98M,3.66M,+23.9%,0.08%
